Timestamp,Gender,Boarding,Grade,Athlete,Activities,DHBreakfast,NDHBreakfast,BClass,DHBoxes,NDHBoxes,NDHMeals,Nutrition,Money
10/22/2020 11:50:31,Female,Boarding,9th,No,Musical,2,4,Yes,2,2,7,2,10.00
10/22/2020 11:51:46,Male,Boarding,12th,Yes,Pre-season conditioning,2,2,Yes,4,1,5,4,7.00
10/22/2020 11:52:17,Male,Boarding,9th,Yes,Football,7,0,Yes,4,1,3,3,7.00
10/22/2020 11:52:18,Male,Boarding,9th,Yes,Cross Country,5,7,Yes,3,0,4,4,15.00
10/22/2020 11:52:30,Female,Boarding,11th,No,None of the above,5,2,Yes,1,0,2,3,20.00
10/22/2020 11:52:45,Female,Day,12th,Yes,None of the above,0,3,No,2,0,0,2,20.00
10/22/2020 11:56:12,Female,Boarding,12th,Yes,Volleyball,4,3,Yes,2,0,4,1,40.00
10/22/2020 11:56:16,Male,Boarding,11th,Yes,Football,5,0,Yes,3,1,4,0,10.00
10/22/2020 11:57:49,Female,Day,10th,No,Musical,0,1,Yes,1,0,2,0,
10/22/2020 11:58:28,Female,Boarding,9th,No,None of the above,3,4,Yes,1,0,7,4,30.00
10/22/2020 11:58:40,Male,Day,11th,Yes,None of the above,0,7,No,3,0,0,4,2.00
10/22/2020 11:59:03,Female,Day,12th,Yes,Volleyball,2,5,Yes,2,0,0,2,50.00
10/22/2020 11:59:26,Male,Boarding,9th,Yes,Pre-season conditioning,4,0,Yes,3,2,10,3,50.00
10/22/2020 11:59:43,Male,Boarding,10th,Yes,Pre-season conditioning,6,0,No,4,0,1,5,2.00
10/22/2020 11:59:45,Male,Day,10th,Yes,Golf,0,6,Yes,2,0,0,3,60.00
10/22/2020 12:01:43,Female,Day,9th,Yes,Cross Country,0,7,No,1,0,0,4,
10/22/2020 12:02:20,Male,Boarding,12th,Yes,Soccer,3,2,Yes,6,2,3,3,20.00
10/22/2020 12:03:22,Female,Day,10th,No,None of the above,3,5,Yes,2,0,0,1,2.00
10/22/2020 12:05:13,Male,Day,10th,Yes,Football,1,2,Yes,3,0,0,4,12.00
10/22/2020 12:10:45,Female,Boarding,10th,No,Musical,3,4,Yes,2,0,5,1,20.00
10/22/2020 12:12:46,Male,Boarding,10th,Yes,Soccer,5,0,Yes,5,1,3,5,5.00
10/22/2020 12:14:09,Male,Boarding,10th,Yes,Football,7,0,Yes,4,1,3,3,15.00
10/22/2020 12:15:43,Male,Boarding,11th,Yes,Soccer,7,0,Yes,2,0,2,5,20.00
10/22/2020 12:17:08,Female,Boarding,10th,Yes,None of the above,2,3,Yes,2,0,3,4,30.00
10/22/2020 12:18:18,Female,Boarding,10th,Yes,Volleyball,1,0,Yes,2,0,1,0,3.00
10/22/2020 12:23:53,Non-Binary,Day,9th,No,Musical,0,7,No,1,0,0,2,
10/22/2020 12:26:07,Male,Boarding,10th,Yes,Pre-season conditioning,7,0,Yes,2,0,0,2,2.00
10/22/2020 12:26:12,Female,Day,11th,No,Musical,0,1,Yes,1,1,2,4,15.00
10/22/2020 12:27:29,Male,Day,11th,Yes,Football,0,7,Yes,2,0,5,4,20.00
10/22/2020 12:28:17,Male,Boarding,12th,No,None of the above,7,1,Yes,1,1,8,0,0.00
